date,avg_gas_cost
2020-05-03 00:00,5983555242.1694000000
2020-05-04 00:00,7096413194.8346000000
2020-05-05 00:00,8831853004.4201000000
2020-05-06 00:00,11421600019.4771000000
2020-05-07 00:00,11289808874.7000000000
2020-05-08 00:00,8527439720.8914000000
2020-05-09 00:00,15016094734.1494000000
2020-05-10 00:00,11383733841.2793000000
2020-05-11 00:00,14127435828.0503000000
2020-05-12 00:00,19095939693.4992000000
2020-05-13 00:00,23563396288.8070000000
2020-05-14 00:00,17804691044.4015000000
2020-05-15 00:00,13873151749.8049000000
2020-05-16 00:00,14038558341.7441000000
2020-05-17 00:00,20857374101.4518000000
2020-05-18 00:00,18039585370.6990000000
2020-05-19 00:00,20113872073.7112000000
2020-05-20 00:00,29878996846.1803000000
2020-05-21 00:00,21834873013.9034000000
2020-05-22 00:00,12405096710.6528000000
2020-05-23 00:00,17451164716.2585000000
2020-05-24 00:00,23098869182.5411000000
2020-05-25 00:00,23605691523.8569000000
2020-05-26 00:00,25586534448.7610000000
2020-05-27 00:00,25264300388.7920000000
2020-05-28 00:00,21435765703.9137000000
2020-05-29 00:00,20921981530.9727000000
2020-05-30 00:00,17210932650.4469000000
2020-05-31 00:00,19814618817.9270000000
2020-06-01 00:00,22415755489.4579000000
2020-06-02 00:00,17576542653.4849000000
2020-06-03 00:00,18626060477.7380000000
2020-06-04 00:00,19746411661.5052000000
2020-06-05 00:00,20985311443.1253000000
2020-06-06 00:00,23194741442.8822000000
2020-06-07 00:00,24735042766.5586000000
2020-06-08 00:00,23829782779.4710000000
2020-06-09 00:00,26392676829.7296000000
2020-06-10 00:00,26172461657.3199000000
2020-06-11 00:00,22774578534.0642000000
2020-06-12 00:00,16892673038.2628000000
2020-06-13 00:00,13584424176.1633000000
2020-06-14 00:00,25991736506.2645000000
2020-06-15 00:00,25754428421.6713000000
2020-06-16 00:00,27411593765.1834000000
2020-06-17 00:00,24866593873.4713000000
2020-06-18 00:00,25451784213.4716000000
2020-06-19 00:00,17660964876.8750000000
2020-06-20 00:00,17154352709.4318000000
2020-06-21 00:00,26176505939.6971000000
2020-06-22 00:00,30384464687.2581000000
2020-06-23 00:00,31711664822.1398000000
2020-06-24 00:00,28520941194.7656000000
2020-06-25 00:00,25100935354.0405000000
2020-06-26 00:00,24105962099.0899000000
2020-06-27 00:00,22516602942.4175000000
2020-06-28 00:00,26589402447.3169000000
2020-06-29 00:00,34863855512.0590000000
2020-06-30 00:00,31813620540.6737000000
2020-07-01 00:00,27568170790.4208000000
2020-07-02 00:00,29161456998.4258000000
2020-07-03 00:00,21212162498.6351000000
2020-07-04 00:00,19929865557.9349000000
2020-07-05 00:00,25908099847.0166000000
2020-07-06 00:00,25821870671.6711000000
2020-07-07 00:00,34769485325.6519000000
2020-07-08 00:00,30780990117.1782000000
2020-07-09 00:00,24021762874.9184000000
2020-07-10 00:00,20834387487.9351000000
2020-07-11 00:00,18758925320.1068000000
2020-07-12 00:00,32108360032.7936000000
2020-07-13 00:00,28012998925.2061000000
2020-07-14 00:00,34769184159.1669000000
2020-07-15 00:00,38469597349.8790000000
2020-07-16 00:00,39671315170.5212000000
2020-07-17 00:00,34981066647.9030000000
2020-07-18 00:00,38583936484.3787000000
2020-07-19 00:00,50330246521.8345000000
2020-07-20 00:00,51623626618.6524000000
2020-07-21 00:00,49903358804.0872000000
2020-07-22 00:00,57095457687.4212000000
2020-07-23 00:00,53486856994.9183000000
2020-07-24 00:00,57379168052.2773000000
2020-07-25 00:00,50521619673.6677000000
